City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
349,marsh harbour,26.5412,-77.0636,28.99,75,47,6.12,BS,1725309257
350,dolzhanskaya,46.6311,37.8039,23.16,74,98,4.49,RU,1725309258
351,sibolga,1.7427,98.7792,24.96,90,85,1.27,ID,1725309259
352,preobrazheniye,42.9019,133.9064,15.68,51,0,3.09,RU,1725309261
353,acapulco de juarez,16.8634,-99.8901,28.9,79,100,2.06,MX,1725309246
354,wum,6.3833,10.0667,18.47,96,100,1.25,CM,1725309263
355,tralee,52.2704,-9.7026,10.92,90,70,2.18,IE,1725309264
356,tabou,4.423,-7.3528,23.95,89,99,3.13,CI,1725309265
357,kavieng,-2.5744,150.7967,27.22,78,100,2.88,PG,1725309267
358,kaniv,49.7518,31.46,22.39,32,70,3.92,UA,1725309268
359,ciudad melchor muzquiz,27.8833,-101.5167,29.72,56,90,2.36,MX,1725309269
360,muynoq,43.7683,59.0214,17.47,44,2,4.4,UZ,1725309270
361,tsiombe,-25.3,45.4833,18.21,83,14,4.36,MG,1725309272
